Sr.No,Year,Facility_number,Facility_name,Start_date,End_date,Country_name,Type_of_control,Hours_type,Productive_hours,Productive_hours_per_adjusted_patient_day,performance
122,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Aides & Orderlies",161345,1,NULL
123,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Clerical & Other Administrative",566100,3,NULL
124,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Environmental & Food Services",365945,2,NULL
125,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,Other,60051,0,NULL
126,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Contracted Registry Nursing",94164,1,NULL
127,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Contracted Other",40021,0,NULL
128,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Daily Cost Centers",1461261,9,NULL
129,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Ambulatory Cost Centers",198081,1,NULL
130,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Ancillary Cost Centers",1016398,6,NULL
131,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Education Cost Centers",5761,0,NULL
132,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"General Services Cost Centers",670770,4,NULL
133,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Fiscal Services Cost Centers",127888,1,NULL
134,2009,106010739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Administrative Services Cost Centers",347007,2,NULL
135,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Management & Supervision",369775,4,NULL
136,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Technician & Specialist",1270155,13,NULL
137,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Registered Nurse",910869,10,NULL
138,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Licensed Vocational Nurse",35560,0,NULL
139,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Aides & Orderlies",94571,1,NULL
140,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Clerical & Other Administrative",678994,7,NULL
141,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Environmental & Food Services",255009,3,NULL
142,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,Other,236547,3,NULL
143,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Contracted Registry Nursing",15639,0,NULL
144,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Contracted Other",147746,2,NULL
145,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Daily Cost Centers",876774,9,NULL
146,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Ambulatory Cost Centers",458673,5,NULL
147,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Ancillary Cost Centers",870142,9,NULL
148,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Education Cost Centers",655765,7,NULL
149,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"General Services Cost Centers",637945,7,NULL
150,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Fiscal Services Cost Centers",198495,2,NULL
151,2009,106010776,"CHILDRENS HOSPITAL & RESEARCH CENTER AT OAKLAND",1/1/2009,12/31/2009,Alameda,Non-Profit,"Administrative Services Cost Centers",205979,2,NULL
152,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Management & Supervision",12729,1,NULL
153,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Technician & Specialist",17640,2,NULL
154,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Registered Nurse",357,0,NULL
155,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Licensed Vocational Nurse",0,0,NULL
156,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Aides & Orderlies",14094,1,NULL
157,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Clerical & Other Administrative",9945,1,NULL
158,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Environmental & Food Services",5074,1,NULL
159,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,Other,0,0,NULL
160,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Contracted Registry Nursing",354,0,NULL
161,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Contracted Other",2061,0,NULL
162,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Daily Cost Centers",33336,3,NULL
163,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Ambulatory Cost Centers",1368,0,NULL
164,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Ancillary Cost Centers",0,0,NULL
165,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Education Cost Centers",0,0,NULL
166,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"General Services Cost Centers",9347,1,NULL
167,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Fiscal Services Cost Centers",13975,1,NULL
168,2009,106010782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL",1/1/2009,12/31/2009,Alameda,Non-Profit,"Administrative Services Cost Centers",4228,0,NULL
169,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Management & Supervision",164648,2,NULL
170,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Technician & Specialist",493238,6,NULL
171,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Registered Nurse",804088,9,NULL
172,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Licensed Vocational Nurse",41493,0,NULL
173,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Aides & Orderlies",143285,2,NULL
174,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Clerical & Other Administrative",376872,4,NULL
175,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Environmental & Food Services",178356,2,NULL
176,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,Other,62313,1,NULL
177,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Contracted Registry Nursing",50414,1,NULL
178,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Contracted Other",25653,0,NULL
179,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Daily Cost Centers",811485,9,NULL
180,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Ambulatory Cost Centers",221808,3,NULL
181,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Ancillary Cost Centers",544921,6,NULL
182,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Education Cost Centers",0,0,NULL
183,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"General Services Cost Centers",415937,5,NULL
184,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Fiscal Services Cost Centers",112275,1,NULL
185,2009,106010805,"EDEN MEDICAL CENTER",1/1/2009,12/31/2009,Alameda,Non-Profit,"Administrative Services Cost Centers",233934,3,NULL
186,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Management & Supervision",306179,2,NULL
187,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Technician & Specialist",949532,6,NULL
188,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Registered Nurse",991421,6,NULL
189,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Licensed Vocational Nurse",126386,1,NULL
190,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Aides & Orderlies",289841,2,NULL
191,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Clerical & Other Administrative",718014,4,NULL
192,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Environmental & Food Services",383844,2,NULL
193,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,Other,376373,2,NULL
194,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Contracted Registry Nursing",287898,2,NULL
195,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Contracted Other",60342,0,NULL
196,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Daily Cost Centers",1228755,7,NULL
197,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Ambulatory Cost Centers",801345,5,NULL
198,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Ancillary Cost Centers",612747,4,NULL
199,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Education Cost Centers",299641,2,NULL
200,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"General Services Cost Centers",779669,5,NULL
201,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Fiscal Services Cost Centers",321293,2,NULL
202,2009,106010846,"ALAMEDA COUNTY MEDICAL CENTER",7/1/2008,6/30/2009,Alameda,City/County,"Administrative Services Cost Centers",446380,3,NULL
203,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Management & Supervision",0,0,NULL
204,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Technician & Specialist",0,0,NULL
205,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Registered Nurse",2294043,26,NULL
206,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Licensed Vocational Nurse",14759,0,NULL
207,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Aides & Orderlies",221515,3,NULL
208,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Clerical & Other Administrative",0,0,NULL
209,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Environmental & Food Services",0,0,NULL
210,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,Other,3954571,46,NULL
211,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Contracted Registry Nursing",53097,1,NULL
212,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Contracted Other",527,0,NULL
213,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Daily Cost Centers",2402187,28,NULL
214,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Ambulatory Cost Centers",167205,2,NULL
215,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Ancillary Cost Centers",928902,11,NULL
216,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Education Cost Centers",193513,2,NULL
217,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"General Services Cost Centers",1623168,19,NULL
218,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Fiscal Services Cost Centers",0,0,NULL
219,2009,106010856,"KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS",1/1/2009,12/31/2009,Alameda,Non-Profit,"Administrative Services Cost Centers",1207209,14,NULL
220,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Management & Supervision",0,0,NULL
221,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Technician & Specialist",0,0,NULL
222,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Registered Nurse",1674237,26,NULL
223,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Licensed Vocational Nurse",33999,1,NULL
224,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Aides & Orderlies",150828,2,NULL
225,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Clerical & Other Administrative",0,0,NULL
226,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Environmental & Food Services",0,0,NULL
227,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,Other,2809499,44,NULL
228,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Contracted Registry Nursing",6065,0,NULL
229,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Contracted Other",729,0,NULL
230,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Daily Cost Centers",1723678,27,NULL
231,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Ambulatory Cost Centers",155908,2,NULL
232,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Ancillary Cost Centers",653749,10,NULL
233,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Education Cost Centers",6157,0,NULL
234,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"General Services Cost Centers",908161,14,NULL
235,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Fiscal Services Cost Centers",0,0,NULL
236,2009,106010858,"KAISER FOUNDATION HOSPITAL - HAYWARD",1/1/2009,12/31/2009,Alameda,Non-Profit,"Administrative Services Cost Centers",1203374,19,NULL
237,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Management & Supervision",37185,2,NULL
238,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Technician & Specialist",62790,3,NULL
239,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Registered Nurse",99805,5,NULL
240,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Licensed Vocational Nurse",32905,2,NULL
241,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Aides & Orderlies",43588,2,NULL
242,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Clerical & Other Administrative",85623,4,NULL
243,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Environmental & Food Services",38099,2,NULL
244,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,Other,0,0,NULL
245,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Contracted Registry Nursing",755,0,NULL
246,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Contracted Other",0,0,NULL
247,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Daily Cost Centers",199812,10,NULL
248,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Ambulatory Cost Centers",0,0,NULL
249,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Ancillary Cost Centers",69664,4,NULL
250,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Education Cost Centers",0,0,NULL
251,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"General Services Cost Centers",53193,3,NULL
252,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Fiscal Services Cost Centers",20383,1,NULL
253,2009,106010887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA",1/1/2009,12/31/2009,Alameda,Investor,"Administrative Services Cost Centers",57698,3,NULL
254,2009,106010937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE",1/1/2009,12/31/2009,Alameda,Non-Profit,"Management & Supervision",221276,2,NULL
255,2009,106010937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE",1/1/2009,12/31/2009,Alameda,Non-Profit,"Technician & Specialist",659469,6,NULL
256,2009,106010937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE",1/1/2009,12/31/2009,Alameda,Non-Profit,"Registered Nurse",931276,9,NULL
257,2009,106010937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE",1/1/2009,12/31/2009,Alameda,Non-Profit,"Licensed Vocational Nurse",26788,0,NULL
258,2009,106010937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE",1/1/2009,12/31/2009,Alameda,Non-Profit,"Aides & Orderlies",230554,2,NULL
259,2009,106010937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE",1/1/2009,12/31/2009,Alameda,Non-Profit,"Clerical & Other Administrative",702592,7,NULL
260,2009,106010937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE",1/1/2009,12/31/2009,Alameda,Non-Profit,"Environmental & Food Services",385821,4,NULL
261,2009,106010937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE",1/1/2009,12/31/2009,Alameda,Non-Profit,Other,81624,1,NULL
262,2009,106010937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE",1/1/2009,12/31/2009,Alameda,Non-Profit,"Contracted Registry Nursing",129075,1,NULL
263,2009,106010937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE",1/1/2009,12/31/2009,Alameda,Non-Profit,"Contracted Other",93946,1,NULL
264,2009,106010937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE",1/1/2009,12/31/2009,Alameda,Non-Profit,"Daily Cost Centers",1049595,10,NULL
265,2009,106010937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE",1/1/2009,12/31/2009,Alameda,Non-Profit,"Ambulatory Cost Centers",250936,2,NULL
266,2009,106010937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE",1/1/2009,12/31/2009,Alameda,Non-Profit,"Ancillary Cost Centers",782211,7,NULL
