Serial_no,Date_of_Read,Author_of_book,Name_of_book,Year_Published,No_of_pages,Rating
51,01-02-1971,"Thomas Mann",Buddenbrooks,1901,595,1
52,01-03-1971,"Bill Moyers","Listening to America",1971,342,5
53,01-04-1971,"Alvin Toffer","Future Shock",1970,430,5
54,01-06-1971,"Jerzy Kosinski","Being There",1971,140,0
55,01-07-1971,"Charlotte Brontë","Jane Eyre",1847,477,2
56,01-08-1971,"William Shakespeare","King Lear",1605,138,5
57,01-08-1971,"Johann Wolfgang Goethe","Elective Affinities",1809,300,3
58,01-09-1971,"William J. Mitchell","Elementary Harmony",1965,230,0
59,01-10-1971,"Edmund S. Morgan","The Birth of the Republic",1956,157,0
60,01-11-1971,"Kenneth A. Lockridge","A New England Town, the First One Hundred Years",1969,180,4
61,01-12-1971,"Mary Renault","The Charioteer",1961,347,1
62,01-01-1972,"L.N. Tolstoy","Anna Karenina",1873,852,0
63,01-02-1972,"Milovan Djilas","The New Class",1957,214,3
64,01-03-1972,"Albert Schweitzer","J.S. Bach, Vol. 1",1911,428,3
65,01-04-1972,"Alan Watts","The Wisdom of Insecurity",1951,152,4
66,01-08-1972,"Larry McMurtry","All My Friends are Going to Be Strangers",1972,286,3
67,01-09-1972,"Richard Bach","Jonathan Livingston Seagull",1970,93,1
68,01-10-1972,"Thomas Wolfe","Look Homeward Angel",1929,522,5
69,01-10-1972,"Alan Moorehead","Darwin and the Beagle",1969,270,5
70,01-02-1973,"Charles Dickens","David Copperfield",1850,850,4
71,01-04-1973,"Charles Dickens","American Notes",1842,320,4
72,01-06-1973,"W.J. Cash","The Mind of the South",1941,440,2
73,01-06-1973,"William Faulkner","The Wild Palms",1939,317,0
74,01-07-1973,"Thomas Hardy","Tess of the D'Urbervilles",1902,517,2
75,01-08-1973,"Irving Bieber","Homosexuality, a Psychoanalytic Survey",1955,319,1
76,01-08-1973,"André Gide","The Immoralist",1903,171,1
77,01-09-1973,"Dee Brown","Bury My Heart at Wounded Knee",1971,421,1
78,01-10-1973,"Gabriel Garcia Marques","One Hundred Years of Solitude",1970,383,1
79,01-10-1973,"Jane Austen","Pride and Prejudice",1797,430,2
80,01-11-1973,"Sarah N. Randolph","The Domestic Life of Thomas Jefferson",1939,384,0
81,01-11-1973,"Daniel Boorstin","The Lost World of Thomas Jefferson",1948,248,4
82,01-12-1973,"Peter McCabe and Robert D. Schonfeld","Apple to the Core",1972,200,4
83,01-12-1973,"E.N. da C. Andrade","Sir Isaac Newton, His Life and Work",1954,136,4
84,01-12-1973,"John Kenneth Galbraith","Economics and the Public Purpose",1973,324,3
85,01-12-1973,"Anne F. Scott","The Southern Lady",1970,231,2
86,01-01-1974,"Georges Lefebvre","The Coming of the French Revolution",1947,220,4
87,01-02-1974,"Konrad Lorenz","On Aggression",1966,290,1
88,01-02-1974,"Bette Davis","The Lonely Life",1962,254,1
89,01-03-1974,"Merle Miller","Plain Speaking, an Oral Biography of Harry S. Truman",1973,432,3
90,01-03-1974,"Vladimir Nabokov","Transparent Things",1972,158,0
91,01-04-1974,"Jane Austen",Persuasion,1818,254,3
92,01-04-1974,"Jim Bouton","Ball Four",1970,369,5
93,01-05-1974,"Bruce Catton","This Hallowed Ground",1956,495,3
94,01-05-1974,"Jan Morris",Conundrum,1974,174,0
95,01-07-1974,"Constantine Fitzgibbon","The Life of Dylan Thomas",1965,346,0
96,01-08-1974,"Chogyam Thungpa","Cutting Through Spiritual Materialism",1973,322,4
97,01-08-1974,"Peter Benchley",Jaws,1974,272,2
98,01-08-1974,"Carlos Castaneda","Journey to Ixtlan",1972,315,3
99,01-08-1974,"Chaim Potok","The Chosen",1969,416,3
100,01-10-1974,"Sir Arthur Conan Doyle","The Adventures of Sherlock Holmes",1892,248,2
101,01-10-1974,"Richard Hofstadter","America at 1750",1973,292,1
102,01-11-1974,"Graham Greene","The End of the Affair",1951,240,4
103,01-12-1974,"Clive Davis","Clive, Inside the Record Business",1974,291,2
104,01-02-1975,"Robert A. Caro","The Power Broker",1974,1162,0
105,01-06-1975,"Henry James","Portrait of a Lady",1881,545,5
106,01-09-1975,"Nicholas Meyer","The Seven Per-Cent Solution",1974,234,3
107,01-01-1976,"William M. Thackeray","Memoirs of Barry Lyndon",1854,324,1
108,01-02-1976,"Kurt Vonnegut, Jr.","Breakfast of Champions",1973,295,2
109,01-03-1976,"F. Scott Fitzgerald","The Last Tycoon",1941,163,3
110,01-04-1976,"Rollo May","The Courage to Create",1975,140,2
111,01-04-1976,"Aaron Copland","Copland on Music",1960,280,3
112,01-07-1976,"Harold Mattingly","The Man in the Roman Street",1966,156,0
113,01-12-1976,"Curtis Cate","George Sand",1975,732,0
114,01-12-1976,"John S. Shelton","Geology Illustrated",1966,424,4
115,01-12-1976,"Saul Bellow","To Jerusalem and Back",1976,182,2
116,01-01-1977,"Saul Bellow","Humboldt's Gift",1973,472,0
117,01-02-1977,"Robert Wm. Fogel and Stanley L. Engerman","Time On the Cross, the Economics of American Negro Slavery",1974,264,3
118,01-02-1977,"Colin McEvedy","The Penguin Atlas of Medieval History",1961,90,1
119,01-02-1977,"R.D. Laing","Do You Love Me?",1976,86,4
120,01-02-1977,"C.G. Jung","The Undiscovered Self",1957,125,0
121,01-05-1977,"C.G. Jung","Modern Man in Search of a Soul",1933,244,3
122,01-05-1977,"Charles Chaplin","My Autobiography",1964,497,2
123,01-05-1977,"Margaret Drabble","A Summer Bird-Cage",1963,208,4
124,01-06-1977,"Arthur C. Clarke","Childhood's End",1953,218,1
125,01-07-1977,"Henry James","The Europeans",1878,173,3
126,01-09-1977,"Stephen King","The Shining",1977,447,0
127,01-08-1977,"Henry James","The Ambassadors",1903,397,1
128,01-06-1977,Bulfinch,Mythology,1855,236,4
129,01-11-1977,"Gail Sheehy",Passages,1976,514,2
130,01-12-1977,"William Shakespeare","Richard III",1595,148,4
131,01-12-1977,"J. Hector St. John de Crevecoeur","Letters from an American Farmer",1782,225,4
132,01-03-1978,"Norman Mailer","Genius and Lust, a Journey through the Major Writings of Henry Miller",1976,476,0
133,01-04-1978,"Charles Darwin","The Origin of Species",1859,460,5
134,01-04-1978,"Robert M. Pirsig","Zen and the Art of Motorcycle Maintenance",1974,406,1
135,01-05-1978,"Erik Erikson","Childhood and Society",1950,424,0
136,01-05-1978,"Marcel Proust","Swann's Way",1928,325,2
137,01-05-1978,"Columbia College","Chapters in Western Civilization, Vol. 1",1954,545,4
138,01-06-1978,Plato,"The Last Days of Socrates, Euthyphro, The Apology, Crito, Phaedo",390bc,199,5
139,01-06-1978,"Chie Nakane","Japanese Society",1970,151,2
140,01-06-1978,Homer,"The Iliad",730bc,459,5
141,01-06-1978,Plato,"The Symposium",385bc,122,4
142,01-08-1978,"Fyodor Dostoevsky","The Idiot",1869,642,2
143,01-09-1978,"Lytton Strachey","Eminent Victorians",1918,338,0
144,01-09-1978,"Robertson Davies","Fifth Business",1970,268,3
145,01-11-1978,"A.J.P. Taylor","The Second World War",1975,235,5
146,01-02-1979,"John McPhee","Coming Into the Country",1976,438,0
147,01-03-1979,"William Manchester","The Glory and the Dream",1974,1302,2
148,01-05-1979,"L.N. Tolstoy",Ressurrection,1899,568,3
149,01-06-1979,"Paul Bowles","The Sheltering Sky",1949,305,4
150,01-06-1979,"Joseph Conrad","Heart of Darkness",1902,111,2
151,01-07-1979,"Yukio Mishima","Spring Snow",1968,376,1
152,01-07-1979,"James Joll","European History since 1870",1973,486,0
153,01-08-1979,"Norman Mailer",Marilyn,1974,262,5
154,01-08-1979,"Jean Rhys","Good Morning, Midnight",1974,190,2
155,01-08-1979,"John Irving","The World According to Garp",1976,609,3
156,01-09-1979,Plato,"The Protagoras, The Meno",430bc,157,3
157,01-09-1979,"Richard Price","Ladies' Man",1978,264,2
158,01-09-1979,"James M. Cain","The Postman Always Rings Twice",1934,120,2
159,01-09-1979,"Jean Rhys","Voyage in the Dark",1934,159,2
160,01-09-1979,"Adam Smith","The Wealth of Nations",1776,347,0
161,01-11-1979,"John C. Brandt and Stephen P. Maran","New Horizons in Astronomy",1979,533,0
162,01-11-1979,"Margaret Mead","Male and Female",1949,344,1
163,01-11-1979,"Friedrich Nietzsche","Ecco Homo",1888,134,2
164,01-11-1979,"A. Alvarez","The Savage God",1971,272,1
165,01-11-1979,"Thomas Hardy","Jude the Obscure",1896,511,3
166,01-12-1979,"George Santayana","The Sense of Beauty",1896,164,2
167,01-12-1979,"Jonathan Swift","Gulliver's Travels",1726,360,4
168,01-12-1979,"W.B. Yeats",Autobiography,1922,387,4
169,01-12-1979,"John Reed","Ten Days that Shook the World",1926,351,5
170,01-01-1980,"Isaac Bashevis Singer","The Slave",1962,287,5
171,01-01-1980,"John Dewey","Liberalism and Social Action",1935,93,4
172,01-01-1980,"Studs Turkel",Working,1972,762,1
173,01-02-1980,"Charles Dickens","Great Expectations",1861,512,3
174,01-07-1980,"Jean-Jacques Rousseau","Botany, a study of pure curiosity",1781,122,5
175,01-07-1980,"Henry James","The American",1875,325,2
176,01-07-1980,"Len Jenkin","New Jerusalem",1985,204,1
177,01-09-1980,"Jean Dorst","The Life of Birds, vol. 1",1971,341,0
178,01-09-1980,"Marcel Proust","Within a Budding Grove",1920,386,1
179,01-10-1980,"Lester C. Thurow","The Zero-Sum Society",1980,214,0
180,01-11-1980,"John Huston","An Open Book",1980,373,1
181,01-11-1980,"Mordecai Richler","Joshua, Then and Now",1980,435,3
182,01-01-1981,"W.X.C. Guthrie",Socrates,1969,187,3
183,01-01-1981,"Jonathan Miller","The Body in Question",1978,341,0
184,01-02-1981,"Edward Gibbon","The Decline and Fall of the Roman Empire (Abridged)",1787,713,1
185,01-02-1981,"J.P. Donleavy","The Destinies of Darcy Dancer, Gentleman",1977,402,5
186,01-03-1981,"James Joyce","A Portrait of the Artist as a Young Man",1916,253,4
187,01-03-1981,"John Steinbeck","The Acts of King Arthur and His Noble Knights",1976,349,0
188,01-06-1981,"J.D. Salinger","uncollected short stories, vol. 2 (containing "The Inverted Forest"")"",1947,107,1
189,01-06-1981,"Gary Zukav","The Dancing Wu Li Masters",1979,332,4
190,01-06-1981,"Johann Wolfgang Goethe","Faust (part one)",1805,197,0
191,01-07-1981,"David Halberstam","The Powers That Be",1979,1027,1
192,01-07-1981,"Laurie Lee","As I Walked Out One Midsummer Morning",1969,186,5
193,01-07-1981,"Benvenuto Cellini",Autobiography,1562,397,0
194,01-08-1981,"Isaac Bashevis Singer","Lost in America",1981,259,2
195,01-09-1981,"Charles Dickens","Nicholas Nickleby",1839,934,2
196,01-10-1981,"Jack London","Martin Eden",1909,348,1
197,01-10-1981,"Henry James","Washington Square",1880,174,2
198,01-10-1981,Aristotle,"On Poetry and Style",350bc,106,5
199,01-10-1981,"Saint Augustine",Confessions,398ad,347,5
200,01-11-1981,"Joan Edelman Spero","The Politics of International Economic Relations",1981,334,2
201,01-11-1981,"Francois Rabelais","Gargantua and Pantagruel",1534,712,1
202,01-12-1981,"David Halberstam","The Breaks of the Game",1981,360,5
203,01-12-1981,"Immanuel Kant","Foundations of the Metaphysics of Morals",1785,92,1
204,01-12-1981,Einhard,"The Life of Charlemagne",830,67,4
205,01-01-1982,"David Hume","An Enquiry Concerning Human Understanding",1748,124,1
206,01-01-1982,"Miguel de Cervantes Saavedra","Don Quixote",1604,940,1
207,01-01-1982,"Virginia Woolf","A Room of One's Own",1929,118,1
208,01-01-1982,"Gustave Flaubert","The Dictionary of Accepted Ideas",1882,92,1
209,01-02-1982,"Baldesar Castiglione","The Book of the Courtier",1518,345,4
210,01-02-1982,"Charles Major","When Knighthood Was in Flower",1898,294,0
211,01-02-1982,"Giovanni Pico della Mirandola","Oration on the Dignity of Man",1487,69,2
212,01-02-1982,"David C. Gompert, Michael Mandelbaum, Richard L. Garwin, John H. Barton","Nuclear Weapons and World Politics",1977,354,4
213,01-03-1982,"D.M. Thomas","The White Hotel",1981,240,5
214,01-03-1982,"Willard Gaylin, Ira Glasser, Steven Marcus, David Rochman","Doing Good(The Limits of Benevolence)",1978,168,5
215,01-04-1982,"Jane Austen",Emma,1816,471,1
216,01-04-1982,"John Calvin","On God and Political Duty",1535,121,3
217,01-04-1982,"Leon Edel","Henry James - The Middle Years: 1882--1895",1962,389,4
218,01-05-1982,"Milan Kundera","The Book of Laughter and Forgetting",1980,237,0
219,01-05-1982,"Yukio Mishima","Runaway Horses",1969,423,4
220,01-05-1982,"Albert Einstein","The World As I See It",1932,112,1
221,01-05-1982,"Ivan Turgenev","First Love",1860,107,3
222,01-05-1982,"Vincent Wright","The Government and Politics of France",1978,253,3
223,01-05-1982,"Jean Rhys","Wide Sargasso Sea",1966,156,1
224,01-05-1982,"Lionel Trilling","Sincerity and Authenticity",1971,158,3
225,01-05-1982,"Christopher Isherwood","Prater Violet",1945,160,1
226,01-06-1982,"Johan Huizinga","The Waning of the Middle Ages",1919,335,1
227,01-06-1982,"Honoré de Balzac","The Black Sheep",1842,339,5
228,01-06-1982,"Martin Buber","On Judaism",1951,231,0
229,01-06-1982,"David Sylvester","Napoleon and the French Empire",1978,90,1
230,01-07-1982,"Robert S. Lopez","The Three Ages of the Italian Renaissance",1970,74,5
231,01-07-1982,"Marie Sandoz","Crazy Horse",1942,413,4
232,01-08-1982,"David McClintick","Indecent Exposure",1982,521,1
233,01-09-1982,"Fyodor Dostoevsky","The Adolescent",1874,599,2
234,01-10-1982,"Robert Graves","Goodbye to All That",1929,347,5
235,01-10-1982,"Robert G. Weisbord","Ebony Kinship",1973,220,4
236,01-10-1982,"Marc Bloch","Feudal Society Vol. 1",1940,279,2
237,01-11-1982,"John Updike","Bech is Back",1982,195,3
238,01-12-1982,Bible,"The Book of Job",1488,63,0
239,01-12-1982,"Robin Lane Fox","The Search for Alexander",1980,441,1
240,01-12-1982,"James Joyce","Stephen Hero",1906,253,2
241,01-12-1982,"William Shakespeare","Antony and Cleopatra",1607,133,4
242,01-12-1982,"Lawrence Durrell",Justine,1957,245,4
243,01-02-1983,"William James","The Varieties of Religious Experience",1902,500,4
244,01-02-1983,"André Breton",Nadja,1928,160,1
245,01-02-1983,"Stephen Jay Gould","Ever Since Darwin",1977,271,4
246,01-02-1983,"Mikhail Bulgakov","The Master and Margarita",1940,402,5
247,01-03-1983,"John Le Carré","Tinker, Tailor, Soldier, Spy",1974,317,1
248,01-03-1983,"Thornton Wilder","The Bridge of San Luis Rey",1927,124,3
249,01-04-1983,Various,"Introduction to Contemporary Civilization in the West, Vol. 1",1960,880,2
250,01-05-1983,"Jean-Jacques Rousseau","The Confessions",1781,606,5
251,01-05-1983,"Tom Wolfe","The Painted Word",1975,120,0
252,01-06-1983,"Patrick Humphries","Bookends - The Simon and Garfunkel Story",1982,186,3
253,01-06-1983,"Emil Ludwig",Napoleon,1926,682,0
254,01-07-1983,"Jean-Jacques Rousseau","The Social Contract and ",1762,226,1
255,01-07-1983,"Jean-Jacques Rousseau","The Social Contract and Discourse on the Origin of Inequality",1762,226,4
256,01-08-1983,"Arnt Eliassen and Kaare Pedersen","Meteorology, an Introductory Course, Vol. 1 chapters 1, 2, 3",1977,135,1
257,01-08-1983,"Jean-Jacques Rousseau","Reveries of the Solitary Walker",1778,155,2
258,01-08-1983,"Henry David Thoreau",Walden,1854,247,2
259,01-08-1983,"Peter Gay","The Enlightenment (The Rise of Modern Pagasm) *",1966,419,5
260,01-08-1983,Plutarch,"Makers of Rome (from Lives)",100,366,3
261,01-09-1983,Basho,"The Narrow Road to the Deep North",1690,147,0
262,01-09-1983,"W. Somerset Maugham","The Razor's Edge",1944,314,2
263,01-09-1983,"Aaron Copland","Copland on Music",1959,280,0
264,01-09-1983,Moliere,"'The Misanthrope' (a play)",1666,55,0
265,01-09-1983,"Dylan Thomas","Portrait of the Artist as a Young Dog",1940,128,3
266,01-09-1983,"Isaac Asimov","The Human Body",1963,309,2
267,01-09-1983,"Vladimir Nabokov","Lectures on Literature",1980,382,0
268,01-09-1983,Aeschylus,"The Oresteian Trilogy",480bc,203,5
269,01-10-1983,Sophocles,"'Electra' (a play)",435bc,55,3
270,01-10-1983,"William Shakespeare","'Trolius and Cressida'",1602,152,1
271,01-10-1983,Cicero,"Selected Works",60bc,160,5
272,01-11-1983,"Elie Wiesel","The Testament",1981,261,2
273,01-11-1983,"Tom Stoppard","Albert's Bridge",1969,116,2
274,01-11-1983,"Tom Stoppard","If You're Glad I'll Be Frank",1969,116,0
275,01-11-1983,"Tom Stoppard","Artist Descending a Staircase",1973,116,1
276,01-11-1983,"Sappho, Pindar, Solon, and 23 others","Greek Lyrics",500bc,82,5
277,01-12-1983,"Robertson Davies","One Half of Robertson Davies",1978,286,5
278,01-12-1983,"Basile Kerblay","Modern Soviet Society",1983,306,3
279,01-01-1984,"James Joyce",Ulysses,1921,783,0
280,01-01-1984,"Jim Harrison",Farmer,1976,160,2
281,01-01-1984,"Michel de Montaigne","Travel Journal",1580,175,2
282,01-02-1984,"Richard Price","Ladies' Man",1978,264,4
283,01-02-1984,"William Maxwell","So Long, See You Tomorrow",1980,149,2
284,01-02-1984,"William Shakespeare","Ages of Man: readings by John Gielgud",1600,93,0
285,01-03-1984,"J.D. Salinger","Nine Stories",1953,198,5
286,01-03-1984,"W. Edward Mann and Edward Hoffman","The Man Who Dreamed of Tomorrow: The Life and Thought of Wilhelm Reich",1980,253,0
287,01-03-1984,"Hallie Burnett","On Writing the Short Story",1983,148,3
288,01-04-1984,"J.D. Salinger","Uncollected Short Stories, Vol. 1",1946,89,0
289,01-04-1984,"William Strunk, Jr. and E.B. White","The Elements of Style",1959,43,1
290,01-04-1984,"Thomas Mann","The Confessions of Felix Krull Confidence Man (The Early Years)",1955,378,3
291,01-04-1984,"Guy de Maupassant","A Woman's Life",1883,202,1
292,01-04-1984,"Thomas Hardy","The Distracted Preacher' and four other short stories",1888,175,4
293,01-05-1984,"Anton Chekhov","'The Kiss' and other short stories",1902,168,2
294,01-05-1984,"Olivia Coolidge","George Bernard Shaw",1968,226,3
295,01-05-1984,"Anthony Burgess","Ninety-nine Novels",1984,156,4
296,01-05-1984,"George Bernard Shaw","Saint Joan",1924,158,0
297,01-05-1984,"L.N. Tolstoy","The Portable Tolstoy",1908,429,5
298,01-05-1984,"John Dover Wilson","Life in Shakespeare's England",1634,345,5
299,01-05-1984,"L.N. Tolstoy","What is Art?",1896,191,4
300,01-05-1984,"Henrik Ibsen","A Doll's House",1879,103,0
301,01-06-1984,"Bob Woodward","Wired: The Short Life and Fast Times of John Belushi",1984,423,0
302,01-06-1984,Plato,"The Republic",375bc,455,2
303,01-06-1984,"Robert H. March","Physics for Poets",1970,253,0
304,01-07-1984,"Gore Vidal",Creation,1981,593,0
305,01-07-1984,"Italo Calvino","The Baron in the Trees",1959,217,4
306,01-07-1984,"Alexander L. George","Managing U.S. - Soviet Rivalry",1983,397,3
307,01-07-1984,"J.W. Goethe","Italian Journey",1786,398,2
308,01-08-1984,"Frederick Exley","A Fan's Notes",1968,353,0
309,01-08-1984,"Ivan Turgenev","Fathers and Sons",1861,295,2
310,01-08-1984,"Edmund Wilson","Axel's Castle",1931,235,3
311,01-09-1984,"C.S. Forster","Mr. Midshipman Hornblower",1941,252,1
312,01-10-1984,"Alexander Pushkin","Eugene Onegin",1830,233,1
313,01-10-1984,"Mikhail Lermontov","A Hero of Our Time",1839,185,1
314,01-10-1984,"Colin McEvedy","The Penguin Atlas of Recent History, Europe since 1815",1982,90,3
316,01-10-1984,"Iris Murdoch","A Severed Head",1961,205,0
317,01-10-1984,"Jean de La Fontaine","Selected Fables",1693,141,2
318,01-10-1984,"William Shakespeare",Othello,1604,154,1
319,01-10-1984,"Réné Descartes","Meditations on First Philosophy",1641,56,0
320,01-10-1984,"Alan Sillitoe","The Loneliness of the Long Distance Runner",1959,144,4
321,01-10-1984,"W.E.B. Dubois","The Souls of Black Folk",1903,278,4
322,01-10-1984,"James Salter","Light Years",1975,308,0
323,01-11-1984,"Milan Kundera","The Unbearable Lightness of Being",1984,314,0
324,01-12-1984,"E.M.W. Tillyard","The Elizabethan World Picture",1958,109,4
325,01-12-1984,"Bruno Bettelheim","The Uses of Enchantment",1975,310,0
326,01-01-1985,"William M. Thackeray","Vanity Fair",1847,636,3
327,01-01-1985,"Knut Hamsun",Mysteries,1892,254,1
328,01-01-1985,"Susan Cheever","Home Before Dark",1984,243,4
329,01-02-1985,"Thornton Wilder","The Ides of March",1948,204,3
330,01-02-1985,"A.J.P. Taylor","Revolutions and Revolutionaries",1980,160,1
331,01-03-1985,"Arkady N. Shevchenko","Breaking with Moscow",1985,370,3
332,01-03-1985,"Constantin Stanislavski","An Actor Prepares",1936,295,0
333,01-04-1985,"Michael White","Empty Seats",1984,190,0
334,01-04-1985,"Constantin Stanislavski","Creating a Role",1938,262,2
335,01-04-1985,"Richard Price","The Breaks",1983,446,0
336,01-05-1985,"Robert Stone","A Flag for Sunrise",1977,440,3
337,01-05-1985,"David Shapiro","Neurotic Styles",1965,199,2
338,01-05-1985,"Richard S. Dunn","The Age of Religious Wars 1559-1715",1970,302,1
339,01-05-1985,"Harriet Beecher Stowe","Uncle Tom's Cabin",1852,590,1
340,01-05-1985,"Anthony Burgess","This Man & Music",1982,192,0
341,01-06-1985,"Victor Hugo","Notre Dame of Paris",1831,493,5
342,01-06-1985,Lucretius,"On the Nature of the Universe",54bc,256,1
343,01-06-1985,"Leonardo Da Vinci","The Codex Leicester",1507,175,5
344,01-06-1985,"Howard Greenfeld",Caruso,1983,254,3
345,01-07-1985,"Marcel Proust","The Guermantes Way",1925,425,0
346,01-07-1985,"Frances Fitzgerald","Fire in the Lake",1972,590,2
347,01-08-1985,"Nora Ephron",Heartburn,1983,223,3
348,01-08-1985,"Fritjof Capra","The Tao of Physics",1975,311,5
349,01-08-1985,"Lao Tsu","Tao Te Ching",600bc,81,1
350,01-09-1985,"Leon Edel","Bloomsbury - A House of Lions",1979,299,1
351,01-09-1985,"Judith Martin","Miss Manners Guide to Excruciatingly Correct Behavior",1979,555,1
352,01-09-1985,"L.N. Tolstoy",Confession,1879,93,0
353,01-09-1985,"Alice Walker","The Color Purple",1982,251,2
354,01-10-1985,"Richard Ellmann","James Joyce",1959,744,4
355,01-10-1985,"E.F. Benson","Queen Lucia part 1",1920,318,4
356,01-10-1985,"James Joyce",Dubliners,1905,223,5
357,01-10-1985,"Thomas Hardy","The Mayor of Casterbridge",1886,411,0
358,01-10-1985,"Henry Chadwick","The Early Church",1967,289,5
359,01-10-1985,Herodotus,"The Histories",446bc,624,2
360,01-11-1985,"Edith Wharton","The House of Mirth",1905,329,2
361,01-11-1985,"J.K. Galbraith","A China Passage",1973,138,4
362,01-11-1985,"Arthur Schopenhauer","Essays and Aphorisms",1851,236,1
363,01-11-1985,"Luigi Barzini","The Europeans",1983,267,5
364,01-11-1985,"Rollo May","My Quest for Beauty",1985,243,3
365,01-12-1985,"Carl Sagan",Cosmos,1980,286,5
366,01-12-1985,"Eugen Herrigel","Zen in the Art of Archery",1953,90,2
367,01-12-1985,"David Hume","Dialogues Concerning Natural Religion",1775,105,2
368,01-12-1985,"Julius Caesar","The Conquest of Gaul",52bc,236,4
369,01-12-1985,"Mark Twain","A Connecticut Yankee in King Arthur's Court",1889,331,0
370,01-12-1985,"Richard Hudson",Linguistics,1984,166,3
371,01-01-1986,Virgil,"The Aeneid",30bc,336,0
372,01-01-1986,Various,"The Colour of Saying Anthology of Verse",1963,170,3
373,01-03-1986,"Gene A. Brucker","Renaissance Florence",1969,280,0
374,01-03-1986,"Edward I. Koch",Politics,1985,246,1
375,01-03-1986,"Giorgio Vasari","Lives of the Artists",1568,477,4
376,01-04-1986,"Julian Jaynes","The Origin of Consciousness in the Breakdown of the Bicameral Mind",1976,446,2
377,01-04-1986,"G. William Domhoff","Who Rules America Now?",1983,223,2
378,01-05-1986,"Martin Heidegger","Poetry, Language, Thought",1971,229,5
379,01-06-1986,"Alan S. Parkes","Patterns of Sexuality and Reproduction",1976,141,1
380,01-07-1986,"Edmund Gosse","Father and Son",1907,251,0
381,01-09-1986,"John Gardner",Self-Renewal,1981,127,2
382,01-09-1986,"Dante Alighieri",Inferno,1314,180,5
